Cultivo,Índice Hídrico Anual Recomendado Mínimo (mm),Índice Hídrico Anual Recomendado Máximo (mm),Temperatura Mínima (°C),Temperatura Máxima (°C),Área de Cultivo (ha)
Milho,400,600,10,30,1000
Soja,350,550,15,35,800
Trigo,300,500,5,25,1200
Arroz,500,700,20,35,600
Feijão,250,450,15,30,700
Cana-de-açúcar,600,800,20,35,1500
Batata,400,600,10,25,900
Cebola,300,500,10,30,600
Tomate,450,650,15,35,500
Cenoura,350,550,10,25,500
Alface,250,400,5,25,300
Pepino,400,600,15,30,400
Abóbora,350,550,10,30,500
Espinafre,300,450,5,25,250
Pimentão,450,650,15,35,350
Berinjela,400,600,20,35,350
Rabanete,300,450,5,25,150
Manga,500,700,20,35,700
Laranja,450,650,15,35,800
Maçã,350,550,5,30,600
Uva,400,600,10,35,400
Café,500,700,15,30,1000
Amendoim,300,500,15,30,500
Cacau,600,800,20,35,200
Goiaba,450,650,15,35,400
Morango,350,550,10,25,300
Kiwi,400,600,15,30,250
Abacaxi,500,700,20,35,600
Batata-doce,350,550,10,30,500
Rúcula,300,450,5,25,200
Alho,400,600,5,30,150
Chuchu,350,550,15,30,300
Ervilha,300,500,10,25,250
Salsão,400,600,10,30,200
Brócolis,350,550,5,25,250
Couve-flor,300,500,10,25,200
Couve,350,550,5,25,200
Jaboticaba,400,600,15,35,300
Maracujá,500,700,20,35,400
Mandioca,400,600,20,30,500
Rabanete,300,450,5,25,150
Salsinha,250,400,5,25,100
Tangerina,450,650,15,35,500
Sorgo,250,400,10,35,400
Nabo,200,350,5,25,150
Triticale,300,500,10,30,400
Gergelim,200,350,15,30,300
Mung bean,250,400,10,30,200
Dente-de-leão,150,300,5,25,100
Batata-doce,250,400,10,30,500
Feno,200,350,5,25,300
